"pnr","preis"
"B0002H244Q","0.00"
"B0002BXWZW","0.00"
"B0002IRXEQ","0.00"
"B000BRY6A2","0.00"
"B0009ZE7S2","0.00"
"B00035W08M","0.00"
"B0009Z5TZW","0.00"
"B000002ONA","0.00"
"B000002I6T","0.00"
"B0001IW2Q6","0.00"
"B000025TIZ","0.00"
"B00064K2S0","0.00"
"B000024ZTQ","0.00"
"B000025LJH","0.00"
"B000CEZW6Q","0.00"
"B00028HP62","0.00"
"B000BK8F2Y","0.00"
"B00035W0AK","0.00"
"B000ADLAY2","0.00"
"B00004XN2T","0.00"
"B000683TPO","0.00"
"3522110803","0.00"
"352210580X","0.00"
"3522105907","0.00"
"3522106202","0.00"
"3522115201","0.00"
"B0002Y64FE","0.00"
"B0000CBBWK","0.00"
"B0002T6LM0","0.00"
"B0002N7X82","0.00"
"B000620N7M","0.00"
"B00002DEC1","0.00"
"B000002VC5","0.00"
"B000005IW3","0.00"
"B00000IOBW","0.00"
"B000025FDK","0.00"
"B0009O1I62","0.00"
"B0003HFRGW","0.00"
"B000023ZW0","0.00"
"B0002UYA8G","0.00"
"B0006IGJ2Y","0.00"
"B00006S2MN","0.00"
"B00002572L","0.00"
"B00005246E","0.00"
"B00004W59Y","0.00"
"B000021XS8","0.00"
"B000AA302A","0.00"
"B0000026YK","0.00"
"B00029RRP0","0.00"
"B0000TSW7E","0.00"
"B000CNEQ2I","0.00"
"B0000038YW","0.00"
"B000024J4N","0.00"
"3570128040","0.00"
"3570127753","0.00"
"3570127761","0.00"
"3570128032","0.00"
"3789140244","0.00"
"3791504673","0.00"
"3442362911","0.00"
"3570127753","0.00"
"3570127761","0.00"
"3570128040","0.00"
"3791504673","0.00"
"3257008775","0.00"
"3257008945","0.00"
"3257800010","0.00"
"3800020432","0.00"
"3800020874","0.00"
"3800020882","0.00"
"380005003X","0.00"
"3800050048","0.00"
"3499212110","0.00"
"3499205823","0.00"
"3499208555","0.00"
"3499212129","0.00"
"3522177355","0.00"
"3522177134","0.00"
"3522177592","0.00"
"3522177606","0.00"
"3522177622","0.00"
"347177274X","0.00"
"3570127753","0.00"
"3570128032","0.00"
"3570128040","0.00"
"3570127753","0.00"
"347177274X","0.00"
"3570127761","0.00"
"3570128032","0.00"
"3570128040","0.00"
"3789140201","0.00"
"3937825002","0.00"
"3937825010","0.00"
"3937825061","0.00"
"3800020440","0.00"
"3800020432","0.00"
"3800020874","0.00"
"3800020882","0.00"
"3800050021","0.00"
"380005003X","0.00"
"3596802601","0.00"
"3596800064","0.00"
"3596800641","0.00"
"3596803276","0.00"
"379150455X","0.00"
"3832712291","0.00"
"3257008775","0.00"
"3257008945","0.00"
"3257011202","0.00"
"347177274X","0.00"
"3548603874","0.00"
"3548604854","0.00"
"3570127761","0.00"
"3791504452","0.00"
"3791504517","0.00"
"3791504568","0.00"
"3791504592","0.00"
"3791504606","0.00"
"3791504649","0.00"
"3190028559","0.00"
"3190028516","0.00"
"3596803926","0.00"
"3423622156","0.00"
"3785530471","0.00"
"3789105090","0.00"
"3789111252","0.00"
"3789140244","0.00"
"3473344702","0.00"
"3570127761","0.00"
"3570128040","0.00"
"3789140201","0.00"
"344010205X","0.00"
"3440102033","0.00"
"3440102041","0.00"
"3440102076","0.00"
"3440102084","0.00"
"3440102092","0.00"
"3473580082","0.00"
"3473581720","0.00"
"3473582123","0.00"
"3423620005","0.00"
"3423125004","0.00"
"3785535929","0.00"
"3785535910","0.00"
"3785537530","0.00"
"3785537549","0.00"
"3785537980","0.00"
"3785540051","0.00"
"3522105907","0.00"
"352210580X","0.00"
"3522106202","0.00"
"3522110803","0.00"
"3522115201","0.00"
"3522119800","0.00"
"342362115X","0.00"
"3401074210","0.00"
"3401044915","0.00"
"3401044923","0.00"
"3401075446","0.00"
"3401081853","0.00"
"3401086472","0.00"
"3446206426","0.00"
"3570128040","0.00"
"3785554419","0.00"
"3789131598","0.00"
"3789140244","0.00"
"3570007928","0.00"
"3593376946","0.00"
"3423620153","0.00"
"3789133051","0.00"
"3789129453","0.00"
"3789129445","0.00"
"3789129461","0.00"
"3789141143","0.00"
"3789141186","0.00"
"3499212129","0.00"
"3499212110","0.00"
"3473344702","0.00"
"3473344273","0.00"
"3473344435","0.00"
"3789140244","0.00"
"3789129445","0.00"
"3522105907","0.00"
"3789129402","0.00"
"3789129453","0.00"
"3789129461","0.00"
"3789141143","0.00"
"3791504592","0.00"
"3791504452","0.00"
"3791504517","0.00"
"3791504568","0.00"
"3791504606","0.00"
"3791504649","0.00"
"3789129402","0.00"
"3789106917","0.00"
"3789129445","0.00"
"3789129461","0.00"
"3789141143","0.00"
"3551064040","0.00"
"3401045512","0.00"
"3401044923","0.00"
"3257008775","0.00"
"3257008945","0.00"
"3257011202","0.00"
"3257800010","0.00"
"3802402081","0.00"
"3499205521","0.00"
"359680342X","0.00"
"3522177622","0.00"
"3522177134","0.00"
"3522177355","0.00"
"3522177592","0.00"
"3522177606","0.00"
"3937825010","0.00"
"3937825061","0.00"
"3937825134","0.00"
"3937825177","0.00"
"3937406425","0.00"
"3765324019","0.00"
"3473373486","0.00"
"3827413524","0.00"
"3134843080","0.00"
"3789129461","0.00"
"3789129402","0.00"
"3789129445","0.00"
"3789129453","0.00"
"3789141143","0.00"
"3897824000","0.00"
"3522177592","0.00"
"3522177134","0.00"
"3522177231","0.00"
"3522177355","0.00"
"3522177606","0.00"
"3522177622","0.00"
"3522176847","0.00"
"3522177509","0.00"
"3570216322","0.00"
"3897773058","0.00"
"3446228837","0.00"
"3789140201","0.00"
"3473344273","0.00"
"3570127753","0.00"
"3570127761","0.00"
"3789140244","0.00"
"3551552312","0.00"
"3789142514","0.00"
"344233733X","0.00"
"3551552878","0.00"
"3551552835","0.00"
"3551552851","0.00"
"355155286X","0.00"
"3551554013","0.00"
"3423708034","0.00"
"3423708921","0.00"
"3190028516","0.00"
"3190028559","0.00"
"3833714220","0.00"
"3551566666","0.00"
"3570127761","0.00"
"3570128040","0.00"
"3791504576","0.00"
"3791504657","0.00"
"3821229268","0.00"
"3831520666","0.00"
"3833934824","0.00"
"3821229268","0.00"
"3821229292","0.00"
"3833934824","0.00"
